"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","资源节点管理","openstack创建endpoint","0","0","1","0","0"
"","项目管理","删除项目","0","0","1","0","0"
"","资源节点管理","删除资源节点","0","0","1","0","0"
"","运营部门管理","创建运营部门","0","0","1","0","0"
"","用户管理","创建运营部门下的用户","0","0","1","0","0"
"","用户管理","删除域用户","0","0","1","0","0"
"","资源节点管理","创建opentack服务","0","0","1","0","0"
"","VPOOL管理","删除VPOOL","0","0","1","0","0"
"","资源节点管理","openstack删除endpoint","0","0","1","0","0"
"","资源节点管理","创建资源节点","0","0","1","0","0"
"","登录模块","系统管理员登录系统","0","0","1","0","0"
"","资源节点管理","删除VMware服务","0","0","1","0","0"
"","VDC管理","创建","0","0","1","0","0"
"","VPOOL管理","创建VPOOL","0","0","1","0","0"
"","资源节点管理","VMware删除endpint","0","0","1","0","0"
"","资源节点管理","创建VMware服务","0","0","1","0","0"
"","用户管理","创建用户","0","0","1","0","0"
"","项目管理","创建项目","0","0","1","0","0"
"","资源节点管理","删除openstack服务","0","0","1","0","0"
"","域管理","移除域管理员","0","0","1","0","0"
"","资源同步","同步物理资源","0","0","1","0","0"
"","域管理","域添加域管理员","0","0","1","0","0"
"","资源节点管理","VMware创建endpoint","0","0","1","0","0"
"","运营部门管理","删除运营部门","0","0","1","0","0"
"","用户管理","删除运营部门下的用户","0","0","1","0","0"
"","VDC管理","删除VDC","0","0","1","0","0"
